symbol,date
603117.SS,2022-12-31
NXC,2023-02-28
IRT,2022-12-31
VICO.ST,2022-12-31
LUCE.L,2022-12-31
EAS2P.AS,2021-12-31
FESA4.SA,2022-12-31
3330.HK,2022-12-31
8059.HK,2022-12-31
CXP,2020-12-31
EEGI,2022-12-31
2353.TW,2022-12-31
DEL.WA,2021-12-31
KHADIM.NS,2023-03-31
PRFX,2022-12-31
TV18BRDCST.NS,2023-03-31
2207.HK,2022-12-31
ACPH.BR,2021-12-31
TKIM.JK,2022-12-31
JUBILE.BK,2022-12-31
UFPI,2022-12-31
RVYL,2022-12-31
BRCK.L,2023-03-31
CHKP,2022-12-31
MORG.OL,2022-12-31
GRE.MC,2022-12-31
8476.HK,2023-03-31
INCE.L,2021-03-31
SCHAEFFLER.NS,2022-12-31
600993.SS,2022-12-31
ZGSI,2018-12-31
EIG,2022-12-31
MEMS.PA,2022-12-31
EAPH,2020-12-31
2352.TW,2022-12-31
8260.HK,2020-03-31
PLASTIBLEN.NS,2023-03-31
BKEP,2021-12-31
TERRNT-B.ST,2022-12-31
RDI,2022-12-31
STP.AX,2022-06-30
0745.HK,2023-03-31
0798.HK,2022-12-31
FGNV,2022-12-31
014130.KS,2022-12-31
AVL.JO,2022-06-30
ALNSC.PA,2022-12-31
2286.T,2023-03-31
0548.HK,2022-12-31
GHMP,2022-12-31
DVLP,2022-12-31
SSK.JO,2022-02-28
CDA.AX,2023-06-30
600213.SS,2022-12-31
600885.SS,2022-12-31
1495.HK,2022-12-31
MTH,2022-12-31
2127.HK,2022-12-31
DDDX,2016-10-31
AHEXY,2022-12-31
8713.T,2023-03-31
RMD,2023-06-30
002445.SZ,2022-12-31
KGKG,2022-12-31
FNHCQ,2021-12-31
603757.SS,2022-12-31
SAI,2022-12-31
NCAP.BK,2022-12-31
FNLC,2022-12-31
300142.SZ,2022-12-31
ERF.TO,2022-12-31
GTCH,2022-12-31
H07.SI,2023-03-31
002015.SZ,2022-12-31
TFINP,2022-12-31
ZYXI,2022-12-31
CASH3.SA,2022-12-31
HPR.AX,2022-06-30
CSO.V,2022-12-31
DANOY,2022-12-31
GEQ.MI,2020-12-31
688665.SS,2022-12-31
600843.SS,2022-12-31
ADK.V,2023-03-31
SPRB,2022-12-31
8182.T,2023-03-31
PURMO.HE,2022-12-31
RSCZF,2022-12-31
SALT.V,2022-12-31
AGARIND.NS,2023-03-31
WINT,2022-12-31
300410.SZ,2022-12-31
BOMDYEING.NS,2023-03-31
ESP.L,2022-12-31
ZEP.WA,2022-12-31
MRUS,2022-12-31
HBR.L,2022-12-31
1969.T,2023-03-31
GLAND.BK,2022-12-31
9069.T,2023-03-31
CENTRALBK.NS,2023-03-31
FING-B.ST,2022-12-31
SKUE.OL,2022-12-31
8844.T,2023-03-31
TC.BK,2022-12-31
4172.T,2022-09-30
LCLP,2021-06-30
4192.SR,2022-12-31
300813.SZ,2022-12-31
MEGA.JK,2022-12-31
300484.SZ,2022-12-31
1868.HK,2022-12-31
603725.SS,2022-12-31
EXR.AX,2023-06-30
AVT-B.ST,2022-12-31
GIB.AX,2022-06-30
CMPD,2011-09-30
HSTI,2022-12-31
PRPI,2022-12-31
OMG.L,2022-09-30
002400.SZ,2022-12-31
SGU,2022-09-30
300244.SZ,2022-12-31
600186.SS,2022-12-31
QTRRF,2020-12-31
603926.SS,2022-12-31
1452.TW,2022-12-31
MOL.NS,2023-03-31
SBFG,2022-12-31
002152.SZ,2022-12-31
MOC.CN,2022-12-31
KNSL,2022-12-31
EQT,2022-12-31
603533.SS,2022-12-31
STNG,2022-12-31
SVS.AX,2022-06-30
SPNO.CO,2022-12-31
WARM,2022-12-31
ESQ,2022-12-31
4IG.BD,2022-12-31
LV1.AX,2022-06-30
600391.SS,2022-12-31
AIRX.OL,2022-12-31
CNK,2022-12-31
FBK,2022-12-31
NANO.L,2022-07-31
FDBC,2022-12-31
DANHOS13.MX,2022-12-31
ALRPD.PA,2022-12-31
001740.KS,2022-12-31
PBF.CN,2022-12-31
301160.SZ,2022-12-31
3301.HK,2022-12-31
GDEV,2022-12-31
002034.SZ,2022-12-31
SCMA.JK,2022-12-31
GBCI,2022-12-31
1059.HK,2022-06-30
2483.TW,2022-12-31
SPC.BK,2022-12-31
002296.SZ,2022-12-31
IIKP.JK,2022-12-31
AKSEN.IS,2022-12-31
600216.SS,2022-12-31
TBBA,2021-06-30
BABP.JK,2022-12-31
DPT.PA,2023-03-31
DVD,2020-12-31
002511.SZ,2022-12-31
LCL.AX,2022-12-31
DHIL,2022-12-31
HWEL,2022-12-31
3816.HK,2023-03-31
PRI.WA,2022-12-31
TDCX,2022-12-31
CI.BK,2022-12-31
6993.HK,2022-12-31
BABL,2011-11-30
SPFI,2022-12-31
4751.T,2022-09-30
ARAO,2023-03-31
UPST,2022-12-31
1182.SR,2022-12-31
301112.SZ,2022-12-31
002529.SZ,2022-12-31
CUBE,2022-12-31
RTSB.ME,2021-12-31
9519.SR,2022-12-31
ARAMI.PA,2022-09-30
ARW,2022-12-31
SFS.WA,2022-12-31
HKD,2023-04-30
HLIT,2022-12-31
1699.HK,2020-12-31
1116.HK,2021-12-31
AMI.AX,2023-06-30
LBT.WA,2022-12-31
AEY,2022-12-31
300751.SZ,2022-12-31
ESSENTIA.NS,2023-03-31
BKDP.JK,2022-12-31
6324.T,2023-03-31
DBOL.NS,2023-03-31
KSL.NS,2023-03-31
SMAPW,2022-12-31
CNE.TO,2022-12-31
IINX,2021-06-30
CANFINHOME.NS,2023-03-31
2296.T,2023-03-31
002094.SZ,2022-12-31
NAR.L,2022-06-30
010060.KS,2022-12-31
GIGA,2022-12-31
ALMIC.PA,2022-12-31
3062.TW,2022-12-31
LUG.TO,2022-12-31
003580.KS,2022-12-31
ALTOO.PA,2022-12-31
RJH.BK,2022-12-31
000632.SZ,2022-12-31
SCAP.BK,2022-12-31
8358.T,2023-03-31
ERVFF,2022-06-30
POLU.JK,2022-12-31
TC1.DE,2020-12-31
FTNT,2022-12-31
AMWD,2023-04-30
300768.SZ,2022-12-31
NSP,2022-12-31
ALPSINDUS.NS,2023-03-31
AIZ,2022-12-31
300052.SZ,2022-12-31
6464.T,2022-12-31
002274.SZ,2022-12-31
2698.HK,2022-12-31
1907.HK,2022-12-31
JBSS3.SA,2022-12-31
TLY.L,2023-03-31
300776.SZ,2022-12-31
002577.SZ,2022-12-31
5358.T,2021-03-31
UNSP.JK,2022-12-31
TCEHY,2022-12-31
8400.HK,2022-12-31
NTWN,2021-03-31
ESALF,2023-03-31
JKTYRE.NS,2023-03-31
300406.SZ,2022-12-31
MRO-TEK.NS,2023-03-31
HATSUN.NS,2023-03-31
AMFC,2007-12-31
NSI.BK,2022-12-31
NEOV,2022-06-30
CNTHN,2021-12-31
KOZAA.IS,2021-12-31
ALE,2022-12-31
GPLL,2022-07-31
603156.SS,2022-12-31
CMC.V,2023-04-30
SIL.NS,2023-03-31
SPEC.L,2022-12-31
IDFCFIRSTB.NS,2023-03-31
WH,2022-12-31
PEN,2022-12-31
ALPHA.PA,2022-12-31
VRSK,2022-12-31
UBQU,2009-08-31
AFC.L,2022-10-31
ALANKIT.NS,2023-03-31
CSE.AX,2022-06-30
MCBI,2022-12-31
DMMX.JK,2022-12-31
600302.SS,2022-12-31
600338.SS,2022-12-31
ACE.ST,2022-12-31
VUL.V,2022-12-31
0347.HK,2022-12-31
3678.HK,2022-12-31
1180.HK,2022-12-31
SELAN.NS,2023-03-31
4390.T,2023-03-31
6153.TW,2022-12-31
DAF.AX,2022-06-30
FDM.L,2022-12-31
CSPCY,2022-12-31
CNF.PA,2022-12-31
DEEPAKFERT.NS,2023-03-31
AMFL,2007-09-30
CRWN.TO,2022-12-31
SAFE.L,2022-10-31
SGMS,2021-12-31
0118.HK,2022-12-31
MITEY,2023-03-31
NFLX,2022-12-31
002347.SZ,2022-12-31
SMTOY,2023-03-31
STAF,2022-12-31
NCAU.V,2022-12-31
001820.KS,2022-12-31
GIC,2022-12-31
OCEA,2022-12-31
1661.HK,2022-12-31
3987.T,2022-08-31
TEA.V,2022-09-30
GREENPOWER.NS,2023-03-31
2369.HK,2022-12-31
047810.KS,2022-12-31
5951.T,2023-03-31
GEMS.CN,2022-08-31
600844.SS,2022-12-31
LYLT,2021-12-31
CLAS,2021-12-31
IHRT,2022-12-31
KYMR,2022-12-31
KATX,2022-11-30
1861.HK,2022-12-31
ATT.WA,2022-12-31
NPHC,2021-12-31
MAGE,2022-12-31
002002.SZ,2022-12-31
NILI.V,2022-12-31
UBIS.BK,2022-12-31
ANANDRATHI.NS,2023-03-31
3689.HK,2022-12-31
3260.TWO,2022-12-31
TMD.BK,2022-12-31
603598.SS,2022-12-31
KDKN,2010-12-31
BIVI,2023-06-30
GMDCLTD.NS,2023-03-31
UNIINFO.NS,2023-03-31
CHR.TO,2022-12-31
3854.T,2022-07-31
3770.T,2023-04-30
NBRK.CN,2022-12-31
STEM.L,2022-11-30
023800.KS,2022-12-31
601058.SS,2022-12-31
ADV.DE,2022-12-31
APEI,2022-12-31
ARENTERP.NS,2023-03-31
HURC,2022-10-31
8226.HK,2022-12-31
ADR.JO,2023-02-28
TTZ.V,2022-06-30
CSOD,2020-12-31
ACS.JO,2023-02-28
TYDE,2022-12-31
4762.T,2023-03-31
PTSN.JK,2022-12-31
TVA-B.TO,2022-12-31
STEELXIND.NS,2023-03-31
VERU,2022-09-30
FSUN,2022-12-31
CLA.MI,2022-12-31
7213.T,2023-03-31
TNT.L,2023-01-31
PRO,2022-12-31
TLYS,2023-01-28
002696.SZ,2022-12-31
MPG.NZ,2023-03-31
6277.T,2022-09-30
3020.T,2023-03-31
FCT.MI,2022-12-31
TCS,2023-04-01
4439.TW,2022-12-31
100840.KS,2022-12-31
MTHRY,2023-03-31
4061.T,2023-03-31
BNR.AX,2022-06-30
2850.TW,2022-12-31
2236.HK,2022-12-31
BPAN4.SA,2022-12-31
UNIT,2022-12-31
TRS,2022-12-31
036570.KS,2022-12-31
NPK.BK,2022-12-31
KALU,2022-12-31
BX,2022-12-31
3001.SR,2022-12-31
HIVE,2023-03-31
ENFN,2022-12-31
SKMO.ST,2022-12-31
BNXT.CN,2022-12-31
DOMIK.AT,2022-12-31
CVHSY,2022-12-31
002788.SZ,2022-12-31
GANGESSECU.NS,2023-03-31
600109.SS,2022-12-31
EPM,2022-06-30
AXB.IL,2023-03-31
ECXJ,2021-05-31
0114.HK,2023-03-31
UMPQ,2022-12-31
CEAB3.SA,2022-12-31
6432.T,2023-02-28
CNCG,2021-06-30
6531.TW,2022-12-31
4781.T,2023-03-31
YOTAW,2022-12-31
SRAJ.JK,2022-12-31
600382.SS,2022-12-31
EMR.V,2022-12-31
PRCT,2022-12-31
SNSY5.SA,2022-12-31
286940.KS,2022-12-31
WWG.AX,2023-06-30
HEGIY,2022-12-31
CRU-UN,2021-12-31
000728.SZ,2022-12-31
8739.T,2023-03-31
300636.SZ,2022-12-31
MTW.BK,2022-12-31
2381.HK,2022-12-31
IGPPF,2022-12-31
6191.T,2022-09-30
ALPIB,2022-12-31
603505.SS,2022-12-31
ATE.TO,2023-03-31
SETCO.NS,2023-03-31
LAUR,2022-12-31
NZO.NZ,2022-06-30
ALTEV.PA,2020-12-31
GXO,2022-12-31
ORR.AX,2022-06-30
3471.T,2022-07-31
DANT.CO,2022-06-30
KAOOY,2022-12-31
IKAI.JK,2022-12-31
KRFG,2023-03-31
8544.T,2023-03-31
HBOR3.SA,2022-12-31
COST.L,2022-12-31
6202.TW,2022-12-31
TOE.AX,2022-06-30
603955.SS,2022-12-31
VGSB.ME,2022-12-31
VRME,2022-12-31
SOWG,2022-12-31
IEP.BR,2022-12-31
VIS.JO,2023-02-28
300115.SZ,2022-12-31
603551.SS,2022-12-31
KPTI,2022-12-31
MKNT.JK,2022-12-31
BE8.BK,2022-12-31
NDTP,2007-12-31
603718.SS,2022-12-31
TREB,2020-12-31
CDBT,2008-06-30
8022.T,2023-03-31
RLT.MI,2022-12-31
0511.HK,2022-12-31
002494.SZ,2022-12-31
FYNBK.CO,2022-12-31
GGS.DE,2022-12-31
SMDR.JK,2022-12-31
MYMD,2022-12-31
4976.TW,2022-12-31
ARB.AX,2023-06-30
BFLY,2022-12-31
RO.ST,2022-12-31
SP8.AX,2022-06-30
VINTE.MX,2021-12-31
ENR,2022-09-30
2080.SR,2022-12-31
6068.HK,2022-08-31
BBWI,2023-01-28
CSOC,2012-03-31
SPQS,2008-05-31
DIT,2022-09-30
III.BK,2022-12-31
000564.SZ,2022-12-31
4581.TW,2022-12-31
CAN.OL,2023-04-30
RGA,2022-12-31
EWIND.OL,2022-12-31
LHFG.BK,2022-12-31
AGMH,2021-12-31
9381.T,2023-02-28
PLIN,2021-06-30
5538.TW,2022-12-31
FTHM,2022-12-31
NVFY,2022-12-31
0207.HK,2022-12-31
HAV.AX,2022-07-31
AIQ.L,2022-10-31
MLTEA.PA,2018-12-31
MANINDS.NS,2023-03-31
GVMH.L,2022-12-31
EDI.PA,2022-09-30
SMURF,2021-12-31
AVROIND.NS,2023-03-31
USREF,2022-07-31
300218.SZ,2022-12-31
ELPE.AT,2022-12-31
MANGALAM.NS,2023-03-31
SANP,2015-07-31
JMCPROJECT.NS,2022-03-31
6269.TW,2022-12-31
TRU.JO,2022-06-30
WSTCSTPAPR.NS,2023-03-31
603928.SS,2022-12-31
ETFLF,2022-02-28
NGI.AX,2023-06-30
CLSC4.SA,2022-12-31
CSQ.DE,2022-12-31
RDG.AX,2023-06-30
MBAPL.NS,2023-03-31
CPQQ,2012-12-31
301180.SZ,2022-12-31
300905.SZ,2022-12-31
JWEL.TO,2022-12-31
2211.T,2022-12-31
002507.SZ,2022-12-31
2340.TW,2022-12-31
SCIB.ST,2022-12-31
PLRTF,2022-11-30
5988.T,2023-03-31
WRIV,2022-12-31
8091.HK,2023-03-31
688669.SS,2022-12-31
AERI3.SA,2022-12-31
000989.SZ,2022-12-31
002681.SZ,2022-12-31
SNW.WA,2022-12-31
DXRX.L,2022-12-31
REVV.V,2022-06-30
KZG.L,2022-06-30
INDI.L,2022-03-31
CHEMBOND.NS,2023-03-31
000416.SZ,2022-12-31
1973.T,2023-03-31
ROHITFERRO.NS,2021-03-31
603996.SS,2021-12-31
QAIR.ST,2022-12-31
6890.HK,2022-12-31
002612.SZ,2022-12-31
MTIG4.SA,2021-12-31
000300.KS,2022-12-31
QIP.AX,2023-06-30
CGII.CN,2022-12-31
PR1.AX,2022-06-30
SCL.AX,2022-12-31
LMSQF,2022-10-31
POAI,2022-12-31
AAWW,2022-12-31
601778.SS,2022-12-31
000582.SZ,2022-12-31
TM1.L,2022-06-30
SZKMY,2023-03-31
MEC,2022-12-31
8345.T,2023-03-31
LFI.L,2022-06-30
TNET,2022-12-31
HWTR,2022-12-31
300476.SZ,2022-12-31
ITIC,2022-12-31
1538.TW,2022-12-31
NXD.AX,2022-06-30
U.TO,2021-02-28
COUV,2022-12-31
MTTR,2022-12-31
OIL.AX,2023-06-30
NWL.JO,2022-08-31
PEIMF,2022-06-30
600847.SS,2022-12-31
000007.SZ,2022-12-31
CNGT,2021-07-31
9024.T,2023-03-31
RNER,2022-12-31
300029.SZ,2022-12-31
SBSI,2022-12-31
WDO.TO,2022-12-31
SFPI.PA,2022-12-31
AIV.AX,2022-06-30
TXRH,2022-12-27
002121.SZ,2022-12-31
002631.SZ,2022-12-31
5481.T,2023-03-31
GRNT.ME,2021-12-31
1954.T,2022-06-30
688127.SS,2022-12-31
LIME.ST,2022-12-31
1303.HK,2022-12-31
MDH,2021-12-31
DIABIO.ST,2022-12-31
TEBE.JK,2022-12-31
SKAN.SW,2022-12-31
USLG,2022-12-31
FSCO,2022-12-31
002413.SZ,2022-12-31
BMIX,2022-12-31
MRVI,2022-12-31
QSAM,2022-12-31
TBIG.JK,2022-12-31
BLEUW,2022-12-31
ETCK,2022-12-31
IBI.TA,2022-12-31
CHAA,2022-12-31
JWN,2023-01-28
SDG.L,2023-01-31
ZIVO,2022-12-31
MGN.OL,2022-12-31
603586.SS,2022-12-31
KEGX,2019-12-31
044380.KS,2022-12-31
3639.T,2022-06-30
MLEDR.PA,2018-12-31
AGYS,2023-03-31
6282.TW,2022-12-31
CIGNITITEC.NS,2023-03-31
3963.HK,2023-03-31
1029.HK,2022-12-31
WISM,2020-12-31
603915.SS,2022-12-31
MFL.JO,2022-06-30
002455.SZ,2022-12-31
NXU.CN,2022-08-31
AXS.AS,2023-03-31
1926.T,2023-03-31
