symbol,date
HEOFF,2023-06-30
7908.T,2023-03-31
ELYS,2022-12-31
AIR.DE,2022-12-31
MFC-PM.TO,2022-12-31
NCMBF,2022-06-30
NINOY,2023-03-31
GSQB,2022-12-31
PRFN.ME,2022-12-31
1950.HK,2022-12-31
TRKX,2004-09-30
6287.T,2023-03-31
VINTE.MX,2021-12-31
BKI,2022-12-31
301060.SZ,2022-12-31
688599.SS,2022-12-31
9065.T,2023-03-31
ELY,2021-12-31
SNAL,2022-12-31
SAS.ST,2022-10-31
078520.KS,2022-12-31
AEND.DE,2022-12-31
DMND.JK,2022-12-31
BKBEF,2022-12-31
BSX.AX,2023-06-30
MEGA.CN,2022-09-30
CHEWA.BK,2021-12-31
FMCB,2022-12-31
ONCT,2022-12-31
MLAUD.PA,2019-12-31
GNL-PB,2022-12-31
RENE.L,2023-03-31
6066.HK,2022-12-31
QBAN,2016-11-30
VTAQ,2021-12-31
ORIENTPPR.NS,2023-03-31
4320.SR,2022-12-31
IPLDP,2020-12-31
SBNC,2021-12-31
AORGF,2021-12-31
CFMOF,2022-12-31
0RFZ.L,2022-12-31
UNIVPHOTO.NS,2023-03-31
2886.HK,2022-12-31
PNPFF,2022-12-31
FE.BK,2022-12-31
COCSF,2022-12-31
SMGR.JK,2022-12-31
BMO.TO,2022-10-31
MNST,2022-12-31
GIL.TO,2022-12-31
CWK.L,2023-03-31
300256.SZ,2022-12-31
ZEP.WA,2022-12-31
ORIENTALTL.NS,2023-03-31
HITI.V,2022-10-31
8178.HK,2022-12-31
600093.SS,2021-12-31
CBR.AX,2022-06-30
CSBB,2022-12-31
603992.SS,2022-12-31
HOLI,2023-06-30
GMINF,2022-12-31
SVII,2022-12-31
6251.TW,2021-12-31
FTNT,2022-12-31
1341.HK,2023-03-31
HF.PA,2020-12-31
CURY.L,2023-04-30
0953.HK,2022-12-31
MTD,2022-12-31
SMCYY,2022-12-31
3658.T,2021-03-31
TOE.AX,2023-06-30
AGM.L,2021-07-31
SGRCF,2014-12-31
SRCE,2022-12-31
CGNR.L,2022-05-31
VIA.AX,2022-03-31
E2N.MU,2022-12-31
FYBR,2022-12-31
HPST,2015-12-31
GATI.NS,2023-03-31
002910.SZ,2022-12-31
ALPRO.PA,2022-12-31
CRAI,2022-12-31
1436.TW,2022-12-31
DESP,2022-12-31
0QYH.L,2022-12-31
8056.HK,2023-03-31
SEJALLTD.NS,2023-03-31
HECCU,2020-12-31
UNIQ.BK,2022-12-31
ENMT3.SA,2022-12-31
VCYE,2008-12-31
688696.SS,2022-12-31
RDY.AX,2023-06-30
BLI,2022-12-31
BRICK-B.ST,2022-12-31
FBK,2022-12-31
LADR,2022-12-31
LAND.JK,2022-12-31
JAY.L,2022-12-31
EGRNF,2021-12-31
7646.T,2022-09-30
4973.T,2023-03-31
FREY,2022-12-31
688319.SS,2022-12-31
BKRKY,2022-12-31
600017.SS,2022-12-31
CYVF,2022-12-31
VML.V,2022-08-31
2601.HK,2022-12-31
CGUSY,2022-12-31
FITBP,2022-12-31
NAUBF,2022-09-30
0JVV.L,2023-07-01
NVG.CN,2022-12-31
ASTRO.OL,2021-12-31
JGGI.L,2023-06-30
DBCORP.NS,2023-03-31
AVG.AX,2023-06-30
LIF.TO,2022-12-31
RGC,2023-06-30
GBOOY,2022-12-31
ALM.AX,2022-06-30
SPRC.BK,2022-12-31
WFC.SW,2022-12-31
WSCRF,2021-12-31
CXX.AX,2023-06-30
ORCP.L,2022-12-31
SMX,2022-12-31
CDXQ,2022-12-31
BGPPF,2021-12-31
MLAIW,2021-12-31
REVB.L,2023-02-28
603717.SS,2022-12-31
PULL.CN,2022-06-30
5214.T,2022-12-31
SCC.TA,2022-12-31
CHEMFAB.NS,2023-03-31
QSR.TO,2022-12-31
PSPPROJECT.NS,2023-03-31
OLGPF,2022-12-31
SOL.AX,2023-07-31
GEGI,2010-12-31
BTCY,2023-03-31
HZAC,2022-12-31
FONE.CN,2021-12-31
RVR.AX,2022-06-30
COPL.L,2022-12-31
PVARF,2022-11-30
RDW.L,2023-06-30
603639.SS,2022-12-31
BDSX,2022-12-31
BBN1.F,2022-12-31
AIMBU,2022-12-31
CVUA,2022-12-31
000528.SZ,2022-12-31
RATO-A.ST,2022-12-31
600983.SS,2022-12-31
MAWANASUG.NS,2023-03-31
002800.SZ,2022-12-31
UCTT,2022-12-30
49GP.L,2022-12-31
1123.HK,2023-03-31
LMSQF,2022-10-31
002643.SZ,2022-12-31
2335.T,2023-03-31
603078.SS,2022-12-31
0298.HK,2023-03-31
3197.T,2022-12-31
ATAKU,2022-12-31
TKXHF,2021-09-30
BYGGP.ST,2022-12-31
2347.TW,2022-12-31
SSH.AX,2022-06-30
EVR,2022-12-31
8033.HK,2022-12-31
JAN.L,2022-12-31
BICO.ST,2022-12-31
1678.HK,2018-12-31
AGRDF,2023-03-31
0HQ7.L,2023-01-28
JARR.JK,2022-12-31
CDNS,2022-12-31
QTX.L,2022-12-31
TSLX,2022-12-31
600226.SS,2022-12-31
TRCLF,2023-03-31
EGRX,2022-12-31
ASB.WA,2022-12-31
4839.T,2023-03-31
603108.SS,2022-12-31
ASPO.HE,2022-12-31
BRH.DE,2022-12-31
BELL.SW,2022-12-31
ITI.NS,2023-03-31
MXLGF,2022-12-31
DBRG-PJ,2022-12-31
300313.SZ,2022-12-31
LGL.AX,2022-06-30
0V9D.L,2022-12-31
7381.T,2023-03-31
NHEL,2018-09-30
AADI,2022-12-31
8052.HK,2022-12-31
5905.T,2023-03-31
JUBA.CN,2023-06-30
BIR-PC.TO,2021-12-31
2413.TW,2022-12-31
2282.HK,2022-12-31
FEL.NS,2022-03-31
BEPTF,2023-06-30
AKO.AX,2022-12-31
VNH.L,2023-06-30
0343.HK,2023-03-31
8113.HK,2022-12-31
300682.SZ,2022-12-31
FEXD,2022-12-31
RELV,2019-12-31
000860.KS,2022-12-31
RAMKY.NS,2023-03-31
PXLW,2022-12-31
ASDM.JK,2022-12-31
5965.T,2022-12-31
IICN,2010-12-31
CHDGF,2022-12-31
HOKUQ,2011-03-31
ITOCY,2023-03-31
ABO.DE,2022-12-31
NUGN,2022-12-31
ARCW,2020-06-30
SCCC.BK,2022-12-31
0680.HK,2020-12-31
NC5A.DE,2022-12-31
ZWRK,2021-12-31
0N2H.L,2022-12-31
003012.SZ,2022-12-31
002990.SZ,2022-12-31
HYDRO.BK,2022-12-31
REDE3.SA,2022-12-31
XPOA,2021-12-31
0600.HK,2021-12-31
ENERS.ST,2022-12-31
ITN.DE,2022-12-31
ANG.L,2023-01-31
KNTK,2022-12-31
9600.HK,2022-12-31
0DUI.L,2022-12-31
5486.T,2022-03-31
ATS.VI,2023-03-31
002200.SZ,2022-12-31
HCHOF,2022-06-30
DGO.V,2022-07-31
6055.T,2023-03-31
IMPP,2022-12-31
HCC,2022-12-31
ALORD.PA,2022-12-31
NEXCF,2022-12-31
GICSAB.MX,2022-12-31
BIF,2021-11-30
BLEE.PA,2022-08-31
BNS,2022-10-31
PSNYW,2022-12-31
1725.HK,2022-12-31
LKHLY,2022-12-31
IONQ,2022-12-31
6923.T,2023-03-31
6266.T,2022-12-31
POS.AX,2023-06-30
U11.SI,2022-12-31
ADYEN.AS,2022-12-31
AVW.AX,2023-06-30
002618.SZ,2021-12-31
AMLH,2006-12-31
PEI-PD,2022-12-31
GG.V,2022-12-31
GIPRW,2022-12-31
AMAL,2022-12-31
BALTA.BR,2021-12-31
1513.HK,2022-12-31
300155.SZ,2022-12-31
0499.HK,2022-12-31
SOMLY,2023-03-31
SQ,2022-12-31
002056.SZ,2022-12-31
000718.SZ,2022-12-31
ADVIC.PA,2019-12-31
603806.SS,2022-12-31
S6P.DE,2022-06-30
FLTR.IR,2022-12-31
CRVH,2006-12-31
ASIX,2022-12-31
NDACU,2021-12-31
4003.SR,2022-12-31
CMCAU,2023-03-31
SNAX,2022-12-31
YAARI.NS,2023-03-31
HAR.JO,2023-06-30
MMS.V,2023-03-31
AGEN,2022-12-31
CTX.WA,2022-12-31
BASF.NS,2023-03-31
STF.WA,2022-12-31
CAT-A.ST,2022-12-31
EMBRAC-B.ST,2023-03-31
NNMX,2022-12-31
RIO.AX,2022-12-31
010690.KS,2022-12-31
ILINK.BK,2022-12-31
6040.SR,2022-12-31
7211.T,2023-03-31
BOALF,2023-06-30
LFIC.NS,2023-03-31
AXA.DE,2022-12-31
BOUYF,2022-12-31
TOP.AX,2023-06-30
0M6J.L,2022-12-31
MLM.AX,2023-06-30
ATHOF,2022-12-31
APM.V,2022-12-31
MRKR,2022-12-31
603085.SS,2022-12-31
2125.HK,2022-12-31
ITJTY,2022-12-31
ELEV,2022-12-31
6244.TWO,2022-12-31
6958.T,2023-03-31
DGA.WA,2022-12-31
3928.HK,2022-09-30
0ZQ7.L,2022-12-31
SANGAMIND.NS,2023-03-31
FTS,2022-12-31
GCP,2021-12-31
0A0C.L,2022-12-31
5337.T,2022-12-31
DYNR,2022-12-31
HTLF,2022-12-31
000632.SZ,2022-12-31
002917.SZ,2022-12-31
SHB-B.ST,2022-12-31
BBRYF,2023-03-31
CBT,2023-09-30
SATIN.NS,2023-03-31
AIDA,2007-12-31
VVV,2023-09-30
2727.TW,2022-12-31
OCUP,2022-12-31
LGRVF,2022-12-31
KGI.BK,2022-12-31
688116.SS,2022-12-31
CELU,2022-12-31
SSMXY,2023-03-31
BAER,2022-12-31
SU,2022-12-31
CSTPF,2022-12-31
DBREALTY.NS,2023-03-31
0QOB.L,2022-12-31
HLAN.TA,2022-12-31
0497.HK,2023-03-31
CMS-PC,2022-12-31
KLBN3.SA,2022-12-31
